date,pressure_avg,temperature_avg,humidity_avg,precipitation,sunshine,wind_direction,wind_speed,pm25_lag1,pm25_lag2,pm25_lag3,pm25_3day_avg,fire_count,fire_pressure,fire_pressure_lag1,fire_pressure_lag2,fire_pressure_3day_avg,month,is_burning_season,pm25
2018-01-07,1010.14,25.88,76.88,0.0,5.7,210,24.076,30.0,23.0,30.0,27.666666666666668,0,0.0,0.0,0.0,0.0,1,1,31.0
2018-01-08,1011.39,26.53,74.25,0.0,6.4,80,11.112,31.0,30.0,23.0,28.0,0,0.0,0.0,0.0,0.0,1,1,26.0
2018-01-09,1012.21,27.14,73.63,0.0,9.6,140,12.964,26.0,31.0,30.0,29.0,2,0.3432,0.0,0.0,0.0,1,1,24.0
2018-01-10,1013.05,26.88,72.13,0.0,9.5,130,22.224,24.0,26.0,31.0,27.0,0,0.0,0.3432,0.0,0.1144,1,1,22.0
2018-01-11,1014.28,25.38,71.5,0.0,5.7,180,16.668,22.0,24.0,26.0,24.0,0,0.0,0.0,0.3432,0.1144,1,1,37.0
2018-01-12,1018.75,19.25,74.5,0.0,0.0,50,18.52,37.0,22.0,24.0,27.666666666666668,0,0.0,0.0,0.0,0.1144,1,1,21.0
2018-01-13,1019.26,18.01,74.63,0.0,0.0,360,16.668,21.0,37.0,22.0,26.666666666666668,0,0.0,0.0,0.0,0.0,1,1,25.0
2018-01-14,1016.91,21.42,70.5,0.0,7.9,280,7.408,25.0,21.0,37.0,27.666666666666668,1,0.8155,0.0,0.0,0.0,1,1,33.0
2018-01-15,1014.19,20.91,74.13,0.0,6.6,200,11.112,33.0,25.0,21.0,26.333333333333332,2,0.8576,0.8155,0.0,0.2718333333333333,1,1,36.0
2018-01-16,1012.29,21.83,72.75,0.0,9.4,80,11.112,36.0,33.0,25.0,31.333333333333332,6,2.2714,0.8576,0.8155,0.5577,1,1,40.0
2018-01-17,1011.81,22.92,71.13,0.0,9.4,240,11.112,40.0,36.0,33.0,36.333333333333336,13,2.1999,2.2714,0.8576,1.3148333333333333,1,1,40.0
2018-01-18,1012.09,22.99,68.38,0.0,9.4,210,9.26,40.0,40.0,36.0,38.666666666666664,11,2.869,2.1999,2.2714,1.7762999999999998,1,1,35.0
2018-01-19,1013.6,22.85,68.0,0.0,9.5,290,20.372,35.0,40.0,40.0,38.333333333333336,10,4.6996,2.869,2.1999,2.4467666666666665,1,1,33.0
2018-01-20,1012.73,22.67,68.25,0.0,10.6,150,12.964,33.0,35.0,40.0,36.0,15,8.0499,4.6996,2.869,3.2561666666666667,1,1,37.0
2018-01-21,1011.76,22.9,68.88,0.0,9.7,120,18.52,37.0,33.0,35.0,35.0,14,2.5596,8.0499,4.6996,5.206166666666666,1,1,41.0
2018-01-22,1011.8,22.53,64.88,0.0,9.9,340,18.52,41.0,37.0,33.0,37.0,14,4.8948,2.5596,8.0499,5.103033333333333,1,1,33.0
2018-01-23,1010.84,22.61,65.5,0.0,11.3,20,7.408,33.0,41.0,37.0,37.0,17,5.1049,4.8948,2.5596,5.1681,1,1,32.0
2018-01-24,1009.92,21.91,60.88,0.0,10.0,120,12.964,32.0,33.0,41.0,35.333333333333336,16,7.0502,5.1049,4.8948,4.1864333333333335,1,1,24.0
2018-01-25,1009.44,21.95,62.13,0.0,10.3,120,16.668,24.0,32.0,33.0,29.666666666666668,5,2.0305,7.0502,5.1049,5.6833,1,1,27.0
