algorithm,variant,scope,feature_count,sample_count,r2,mae,rmse
lightgbm,weather_only,burning_season,13,120,0.7101029013983802,5.2080679960442655,7.323706756574833
lightgbm,weather_plus_fire,burning_season,18,120,0.7360847469749967,4.97623879113119,6.987812733960006
xgboost,weather_only,burning_season,13,120,0.6825683926730514,5.171502606074015,7.663622368840049
xgboost,weather_plus_fire,burning_season,18,120,0.7118975241432247,5.038005383809407,7.301002674602651
lightgbm,weather_only,full_test_year,13,365,0.8507582249901661,3.248611825734188,4.913143052240908
lightgbm,weather_plus_fire,full_test_year,18,365,0.8601543506963653,3.2243973220483246,4.755965399099532
xgboost,weather_only,full_test_year,13,365,0.8435981101649802,3.1739005781199836,5.029620352223864
xgboost,weather_plus_fire,full_test_year,18,365,0.8526747166396962,3.194370183552781,4.881495002512158
lightgbm,weather_only,high_pm25_days,13,20,-2.1098701479511086,7.4072807490920525,10.005334580239992
lightgbm,weather_plus_fire,high_pm25_days,18,20,-1.6979046569064193,6.568935091621677,9.3190960347996
xgboost,weather_only,high_pm25_days,13,20,-3.382068839076937,7.72567777633667,11.876817584264169
xgboost,weather_plus_fire,high_pm25_days,18,20,-2.451869363044107,7.362666893005371,10.541142006271892
